Country,Code,Year, Student teacher ratio primary school, Female to male ratio primary school pupils, Female to male ratio secondary school students, Female to male ratio students at tertiary level education, Secondary school enrollment, Primary school enrollment, Preprimary school enrollment, Tertiary school enrollment, Trained teachers in primary education, Education spending percent of GDP, Primary school completion rate, Literacy rate, Female literacy rate ages 15-24, Male literacy rate ages 15-24, Youth literacy rate ages 15-24
Mexico, MX,1960, , , , , , , , , , , , , , , 
Mexico, MX,1961, , , , , , , , , , , , , , , 
Mexico, MX,1962, , , , , , , , , , , , , , , 
Mexico, MX,1963, , , , , , , , , , , , , , , 
Mexico, MX,1964, , , , , , , , , , , , , , , 
Mexico, MX,1965, , , , , , , , , , , , , , , 
Mexico, MX,1966, , , , , , , , , , , , , , , 
Mexico, MX,1967, , , , , , , , , , , , , , , 
Mexico, MX,1968, , , , , , , , , , , , , , , 
Mexico, MX,1969, , , , , , , , , , , , , , , 
Mexico, MX,1970, , , , , , , , , , , , , , , 
Mexico, MX,1971,45.91,0.94, ,0.26,21.15,101.9,12.26,5.29, , , , , , , 
Mexico, MX,1972,46.63,0.91, ,0.28,22.83,104.03,12.42,5.67, , , , , , , 
Mexico, MX,1973, , , , ,25.55,106.15,12.5,6.1, , , , , , , 
Mexico, MX,1974,44.16,0.94, , ,28.25,108.88,12.19,7.47, , , , , , , 
Mexico, MX,1975,45.45,0.93, , ,30.66,108.03,12.5,8.77, , ,68.49, , , , 
Mexico, MX,1976,44.78,0.93, , ,34.28,109.19,13.25,9.56, , ,70.38, , , , 
Mexico, MX,1977,44.22,0.96, ,0.37,37.2,112.38,14.88,9.45, , ,76, , , , 
Mexico, MX,1978,43.89,0.95, ,0.4,38.87,112.16,15,10.6, , ,76.25, , , , 
Mexico, MX,1979, ,0.97, , ,42.19,116.21,16.4,11.74, , ,80.33, , , , 
Mexico, MX,1980, ,0.99, ,0.47,44.89,116.45,17.97,13.1, , ,83.12, , , , 
Mexico, MX,1981,39.09,0.98, ,0.49,48.29,116.4,22.99,13.9, , ,84.43, , , , 
Mexico, MX,1982,37.41,0.98, ,0.51,52.62,115.11,30.45,14.52, , ,84.31, , , , 
Mexico, MX,1983,36.64,0.96, ,0.54,54.52,114.54,37.08,14.8, , ,85.08, , , , 
Mexico, MX,1984,35.92,0.96, ,0.55,55.76,114.52,42.39,15.29, , ,88.07, , , , 
Mexico, MX,1985,34.79,0.97, , ,55.19,113.33,48.8,15.4, , ,86.38, , , , 
Mexico, MX,1986,33.63,0.97, , ,55.42,113.36,54.01,15.83, , ,88.02, , , , 
Mexico, MX,1987,32.82,0.97, , ,54.86,113.28,57.89,15.57, , ,88.78, , , , 
Mexico, MX,1988,31.89,0.97, , ,54.29,112.23,59.59,16.21, , ,88.62, , , , 
Mexico, MX,1989,31.31,0.97, , ,53.78,111.81,60.32,15.65, ,2.27,88.39, , , , 
Mexico, MX,1990,31.07,0.96, , ,52.68,110.75,59.9,15.09, ,2.31,86.66, , , , 
Mexico, MX,1991,30.54,0.97, , ,51.84,109.99,61.3,14.38, ,2.54,86.4, , , , 
Mexico, MX,1992,30.02,0.97, , ,52.02,109.92,62.01,14.1, ,2.99,87.81, , , , 
Mexico, MX,1993,29.64,0.97, ,0.82,52.83,109.82,62.74,13.09, , ,88.85, , , , 
Mexico, MX,1994,29.14,0.97, ,0.85,54.46,109.54,64.58,13.3, ,3.65,90.59, , , , 
Mexico, MX,1995,28.71,0.97, ,0.88,56.8,109.45,66.32,13.7, ,3.86,93.59, , , , 
Mexico, MX,1996,28.34,0.97, ,0.9,59.4,108.79,67.59,14.7, , ,95.22, , , , 
Mexico, MX,1997,27.91,0.97, ,0.91,61.84,107.94,68.52,15.56, , ,94.89, , , , 
Mexico, MX,1998,27.57,0.98, ,0.92,65.41,106.98,69.6,16.76, ,3.53, , , , , 
Mexico, MX,1999,27.23,0.98, ,0.93,67.48,106.51,70.2,17.87, ,3.66,94.57, , , , 
Mexico, MX,2000,27.16,0.98, ,0.94,69.91,106.25,70.54,19.07, ,4.14,95.06,90.54,96.48,96.75,96.61
Mexico, MX,2001,26.98,0.99, ,0.95,71.46,105.77,70.84,19.86, ,4.43,95.42, , , , 
Mexico, MX,2002,26.87,0.99, ,0.97,73.82,105.56,70.79,20.84, ,4.64,96.35,90.27,97.27,97.94,97.6
Mexico, MX,2003,26.66,0.99, ,0.98,77.3,105.13,74.87,21.73, ,5.18,95.88, , , , 
Mexico, MX,2004,28.47,0.99, ,1,78.55,104.1,77.03,22.56,94.5,4.8,97.2,90.95,97.61,97.52,97.56
Mexico, MX,2005,28.32,0.98, ,1.02,79.23,103.02,84.4,23.12,94.93,4.91,97.44,91.63,97.63,97.64,97.64
Mexico, MX,2006,28,0.98, ,1.03,80.91,101.75,92.05,23.61,95.15,4.76,97.12,91.73,97.69,98.11,97.9
Mexico, MX,2007,27.99,0.98, ,1.03,81.82,101.63,98.54,24.14,95.37,4.73,97.02,92.8,98.12,98.2,98.16
Mexico, MX,2008,28.02,0.98, ,1.04,83.26,101.85,99.37,24.75,95.05,4.84,95.41,92.93,98.36,98.41,98.38
Mexico, MX,2009,28.12,0.99, ,1.04,82.57,102.91,97.76,25.19,95.59,5.21,92.98,93.44,98.38,98.67,98.52
Mexico, MX,2010,28.15,0.99, ,1.03,83.19,103.41,97.86,26.17,95.59,5.18,92.57,93.07,98.49,98.38,98.43
Mexico, MX,2011,28.11,0.99, ,1.03,83.52,104.04,98.97,27.04, ,5.13,92.61,93.52,98.51,98.42,98.46
Mexico, MX,2012,28.02,0.99, ,1.02,85.09,104.65,100.79,28.31, ,5.17,98.85,94.23,99.03,98.72,98.88
Mexico, MX,2013,27.69,0.99, ,1.01,87.04,104.32,68.37,29.21, ,4.75,102.82,93.96,98.6,98.53,98.56
Mexico, MX,2014,27.41,1, ,1.01,90.55,103.39,68.96,29.94, ,5.31,104.71,94.56,99.08,98.92,99
Mexico, MX,2015, , , , , , , , , , , ,94.47,99.01,98.87,98.94
Mexico, MX,2016, , , , , , , , , , , , , , , 
